Waterbody Official Name,Waterbody Common Name,ATS,Species,Strain*,Genotype**,Average Length (cm),Number Stocked,Stocking Date
Unnamed,Two Hills Pond,SW32-54-12-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.5,700,2023-05-15
Unnamed,"Valleyview
Children's Pond",NE21-70-22-W5,RNTR,Trout Lodge/Jumpers,AF3N,21.5,251,2023-05-23
Unnamed,"Vegreville
Children's Pond",NW17-52-14-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.5,675,2023-05-18
Unnamed,"Vegreville Trout
Pond",SW7-52-14-W4,RNTR,Riverance,AF3N,14.4,4000,2023-09-19
Unnamed,Vegreville Trout Pond,SW7-52-14-W4,RNTR,Campbell Lake,2N,7.5,7000,2023-05-01
Unnamed,Vegreville Trout Pond,SW7-52-14-W4,RNTR,Campbell Lake,2N,20,3990,2023-05-03
Unnamed,"Wallace Park
Pond",NE31-44-6-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.5,500,2023-05-19
Unnamed,Weberville Pond,NW7-85-21-W5,RNTR,Trout Lodge/Jumpers,AF3N,21.2,502,2023-05-24
Unnamed,"Wetaskiwin
Pond",NE24-46-24-W4,RNTR,Trout Lodge/Jumpers,AF3N,20,300,2023-05-04
Unnamed,Wetaskiwin Pond,NE24-46-24-W4,BKTR,Beitty Resort,3N,20.7,250,2023-05-08
Unnamed,Whitecourt Town Pond,NE35-59-12-W5,RNTR,Trout Lodge/Jumpers,AF3N,20.3,753,2023-05-09
Unnamed,Wildwood Pond,SW30-53-9-W5,RNTR,Trout Lodge/Jumpers,AF3N,21.7,753,2023-05-19
Unnamed,Winchell Lake,NW2-29-5-W5,RNTR,Campbell Lake,3N,19.9,4000,2023-05-17
Unnamed,Wolf Creek Pond,SW13-53-16-W5,RNTR,Trout Lodge/Jumpers,AF3N,21.4,377,2023-05-23
Unnamed,"Zama
Community Pond",SW18-117-4-W6,RNTR,Trout Lodge/Jumpers,AF3N,20.4,251,2023-05-24
Victor Lake,,SW35-56-8-W6,RNTR,Trout Lodge/Kamloops,AF3N,17.4,7110,2023-05-30
Watridge Lake,,SW11-22-11-W5,CTTR,Allison Creek,2N,28.6,800,2023-09-06
Watridge Lake,,SW11-22-11-W5,CTTR,Allison Creek,2N,16.8,700,2023-09-06
West Dollar Lake,,SE18-73-21-W5,BNTR,Bow River,3N,18.6,250,2023-05-09
West Dollar Lake,,SE18-73-21-W5,RNTR,Trout Lodge/Jumpers,AF3N,18.6,502,2023-05-09
West Rivers Edge Pond,Fort Lions Park Pond,NE23-54-23-W4,TGTR,Beitty/Bow River,3N,19.5,200,2023-05-16
West Rivers Edge Pond,Fort Lions Park Pond,NE23-54-23-W4,TGTR,Beitty/Bow River,3N,19.5,250,2023-05-16
West Rivers Edge Pond,Fort Lions Park Pond,NE23-54-23-W4,BNTR,Bow River,3N,18,250,2023-05-16
West Rivers Edge Pond,Fort Lions Park Pond,NE23-54-23-W4,RNTR,Trout Lodge/Jumpers,AF3N,21.6,600,2023-05-16
