Lake_Name,ATS_Location,Species_Code,Strain,Genotype,Avg_Length,Quantity_Stocked,Stocking_Date
Hiller's Reservoir,SE13-32-29-W4,RNTR,Riverence,AF2N,20.3,7500,30-04-2026
Hinton F & G Pond (Hinton,SW28-50-25-W5,RNTR,Riverence,AF3N,23.4,300,27-05-2026
Huber Reservoir,SW36-37-13-W4,RNTR,Riverence,AF3N,20.6,6000,27-04-2026
Innisfree Trout Pond,SE13-51-12-W4,RNTR,Riverence,AF3N,23.1,400,09-05-2026
Irma Fish and Game Pond,SW34-45-9-W4,RNTR,Riverence,AF3N,24.5,200,01-05-2026
Jack Fish Lake,NW20-53-9-W4,RNTR,Riverence,AF3N,22.1,3000,13-05-2026
Jarvis Creek Pond,NE19-52-26-W5,RNTR,Riverence,AF3N,23.4,700,27-05-2026
Kerbe's Pond,NE19-36-20-W4,RNTR,Riverence,AF3N,23.6,1000,27-04-2026
Kids Can Catch Pond,SW13-24-1-W5,RNTR,Riverence,AF3N,23.7,15,01-05-2026
Kids Can Catch Pond,SW13-24-1-W5,RNTR,Riverence,AF3N,23.7,21,12-05-2026
Kraft Wimborne Pond,SE28-33-26-W4,RNTR,Riverence,AF3N,22.3,180,11-05-2026
Lac La Biche Trout Pond,NW5-67-13-W4,RNTR,Riverence,AF3N,23.1,600,13-05-2026
Lacombe Park Pond,NW5-54-25-W4,RNTR,Riverence,AF3N,24.2,500,06-05-2026
Lara Fish Pond,NE25-61-5-W4,RNTR,Riverence,AF3N,23.5,400,11-05-2026
Leduc Reservoir,NE27-49-25-W4,RNTR,Riverence,AF2N,20.3,5000,06-05-2026
Legal Reservoir,NW24-57-25-W4,RNTR,Riverence,AF3N,22.9,1150,15-05-2026
Len Thompson Pond,NW29-40-26-W4,RNTR,Riverence,AF3N,22.2,1235,04-05-2026
Lloydminster Pond,SE6-50-1-W4,RNTR,Riverence,AF3N,23.7,500,27-05-2026
Margaret Lake,NW15-28-9-W5,RNTR,Riverence,AF3N,14.3,3100,05-06-2026
McClennan Reservoir,SW32-77-19-W5,RNTR,Riverence,AF3N,23.7,500,19-05-2026
Mclaren's Reservoir,SW23-33-18-W4,RNTR,Riverence,AF3N,20.3,4200,28-04-2026
Mclaren's Reservoir,SW23-33-18-W4,RNTR,Riverence,AF3N,26.2,1400,29-04-2026
McLeod Lake (Carson,SE25-61-12-W5,RNTR,Riverence,AF3N,23.3,4000,28-05-2026
